,slope,r_squared,p_value,pct_change_1999_2024
punting_puntsInside20,0.2136628162351429,0.6167343777537897,2.0155685946982355e-06,22.872941195964813
passing_passingYards,37.50251343816773,0.8893930774373006,5.702924822697458e-13,22.544437646865845
passing_netPassingYards,37.50251343816773,0.8893930774373006,5.702924822697458e-13,22.544437646865845
road_wins,0.019256272401433693,0.31743979424549956,0.0027252594508897754,21.81311881188118
home_losses,0.019256272401433693,0.31743979424549956,0.0027252594508897754,21.81311881188118
punting_puntReturnYards,-3.570679096971822,0.5768797955574781,6.804430409246307e-06,-21.72820121049881
kicking_fieldGoalsMade40_49,0.07970016542597189,0.5956184758567564,3.895783598962863e-06,21.62024456521739
passing_netYardsPerPassAttempt,0.037559043222841634,0.8209118841983287,1.9203849332667435e-10,21.56477151262424
receiving_receivingYards,42.68697098691239,0.9065231939070714,7.505190461041819e-14,21.35625183582306
miscellaneous_firstDownsPerGame,0.17533581370927193,0.8367713605013622,6.256919780485707e-11,21.28470151725966
passing_yardsFromScrimmagePerGame,2.7089542876445445,0.888852334462326,6.048322862380972e-13,21.02997597276052
receiving_netYardsPerGame,2.7089542876445445,0.888852334462326,6.048322862380972e-13,21.02997597276052
receiving_yardsFromScrimmagePerGame,2.7089542876445445,0.888852334462326,6.048322862380972e-13,21.02997597276052
rushing_yardsFromScrimmagePerGame,2.7089542876445445,0.888852334462326,6.048322862380972e-13,21.02997597276052
rushing_netYardsPerGame,2.7089542876445445,0.888852334462326,6.048322862380972e-13,21.02997597276052
passing_netYardsPerGame,2.7089542876445445,0.888852334462326,6.048322862380972e-13,21.02997597276052
returning_puntReturnYards,-3.7077546574519236,0.5784207655522632,6.505288251658145e-06,-20.55640071630478
passing_yardsPerPassAttempt,0.04260530121527923,0.8903747889933545,5.12172151947665e-13,20.333443532905157
kicking_fieldGoalsBlockedPct,-0.02017436983539155,0.13119968451367595,0.06899973877943841,-20.023866587281542
passing_passingBigPlays,0.6066384063964709,0.8275937423318778,1.2123317507709068e-10,19.918818466353674
receiving_receivingBigPlays,0.6066384063964709,0.8275937423318778,1.2123317507709068e-10,19.918818466353674
passing_avgGain,0.04533229471945651,0.9144606648091288,2.577329629449215e-14,19.490094664012783
kicking_fieldGoalPct,0.6345950751421572,0.9125204226417734,3.3766235507053303e-14,18.980383199513284
punting_longPunt,0.4948552522746072,0.7946417022443537,1.0072811961697907e-09,18.83333333333334
miscellaneous_thirdDownConvs,0.622920378334502,0.7688082107533865,4.238141109927206e-09,17.619864642620087
returning_puntReturnFairCatches,0.24009547078711355,0.5941612340547808,4.0720373360629795e-06,17.589092254638672
passing_passingYardsPerGame,2.0352595892833976,0.8081263703755185,4.424554089723178e-10,17.514066761020405
passing_netPassingYardsPerGame,2.0352595892833976,0.8081263703755185,4.424554089723178e-10,17.514066761020405
passing_passingFumblesLost,-0.018130342858469387,0.10795025435857956,0.10125688584954337,-17.40785241127014
punting_punts,-0.3129969671905155,0.4167889687530859,0.0003683502923944349,-17.17248223986627
road_winPercent,0.17768501286646454,0.22724341642841184,0.013810349599573547,17.093331473214306
kicking_fieldGoalsBlocked,-0.004274193548387096,0.0507045126835781,0.26873052733175956,-16.964285714285708
defensive_sackYards,2.613233647794805,0.5758379568817587,7.0138123725394084e-06,16.752681136131287
general_fumbles,-0.18367763943142362,0.6307576428139892,1.2758552862793169e-06,-16.528254747390747
receiving_receivingYardsPerGame,2.3077247327539365,0.8414024206275861,4.418458350807469e-11,16.33334318128102
punting_puntsBlocked,-0.0021553623166858642,0.014332285307275608,0.5602156235390064,16.25000387430191
total_pointsAgainst,2.1347918389853873,0.7069728873401494,7.565149840568946e-08,15.25868652157312
passing_totalPoints,2.1347918389853873,0.7069728873401494,7.565149840568946e-08,15.25868652157312
rushing_totalPoints,2.1347918389853873,0.7069728873401494,7.565149840568946e-08,15.25868652157312
total_pointsFor,2.1347918389853873,0.7069728873401494,7.565149840568946e-08,15.25868652157312
receiving_totalPoints,2.1347918389853873,0.7069728873401494,7.565149840568946e-08,15.25868652157312
rushing_rushingAttempts,1.4143210490952192,0.2814643450950943,0.005300395496508639,15.24229645729065
defensive_avgInterceptionYards,-0.014470478690891566,0.0161420722332055,0.5362516812606077,-14.947788515087138
receiving_receivingTargets,4.645998414667769,0.8640856752357976,6.848954853555561e-12,14.826530612244898
rushing_totalOffensivePlays,6.299290736145576,0.7650535813667633,5.1534047732349995e-09,14.54370231030098
passing_totalOffensivePlays,6.299290736145576,0.7650535813667633,5.1534047732349995e-09,14.54370231030098
