feature,count,mean,median,std,min,max,q25,q75,skewness,kurtosis
receiving_receivingYardsPerGame,13564,220.60225597168977,225.0,94.15428015967038,-7.0,527.0,171.0,281.0,-0.39439523812251737,0.42821979274549493
receiving_receivingYards,13564,220.6022491455078,225.0,94.15428161621094,-7.0,527.0,171.0,281.0,-0.3943949710706909,0.42821968074974315
punting_puntReturnYards,13564,17.424579620361328,11.0,21.310213088989258,-16.0,199.0,0.0,25.0,2.1370594310416027,6.735882228789599
receiving_yardsPerReception,13564,10.74539686336485,11.0,3.809386799491064,-3.5,34.5,9.359999656677246,12.778645753860474,-0.9673678711724418,2.6413315520741625
returning_puntReturnYards,13564,17.676496505737305,11.0,21.545074462890625,-16.0,199.0,0.0,25.0,2.121529870588983,6.581966948048777
defensiveInterceptions_interceptionYards,13564,12.024181365966797,0.0,22.325538635253906,-59.0,186.0,0.0,16.0,2.519959372378694,7.546321436758506
defensive_avgInterceptionYards,13564,7.421733474415493,0.0,13.483004152227494,-29.5,106.0,0.0,11.0,2.560209370771723,8.489584976661536
punting_puntsBlockedPct,13564,0.5381988993018187,0.0,4.1406568285337775,0.0,100.0,0.0,0.0,11.291208665579358,177.85117885116622
kicking_kickoffReturnYards,13564,61.73540115356445,55.0,49.50481414794922,-2.0,299.0,22.0,93.0,0.7672718794987422,0.39478055508117693
returning_kickReturnYards,13564,61.73540115356445,55.0,49.63380432128906,-2.0,299.0,22.0,93.0,0.7708147418715763,0.39646534418558765
rushing_rushingYards,13564,107.55506896972656,104.0,57.634674072265625,-18.0,404.0,70.75,142.0,0.3853061261567065,0.49070202445021316
rushing_rushingYardsPerGame,13564,107.55507225007372,104.0,57.634676571064766,-18.0,404.0,70.75,142.0,0.38530592179893675,0.4907017987856954
punting_touchbackPct,13564,7.21921446210004,0.0,13.683990322456324,0.0,100.0,0.0,14.285714285714285,2.3967946122519765,7.813533827284514
receiving_receivingBigPlays,13564,2.739015039811265,3.0,1.8427472054546927,0.0,12.0,1.0,4.0,0.5319519696907703,0.15969564475438602
passing_passingBigPlays,13564,2.739015039811265,3.0,1.8427472054546927,0.0,12.0,1.0,4.0,0.5319519696907703,0.15969564475438602
rushing_rushingBigPlays,13564,0.6114715423179004,0.0,0.8490968710490138,0.0,7.0,0.0,1.0,1.572427076940333,2.934895639760029
kicking_fieldGoalAttempts,13564,1.7816278383957536,2.0,1.325768788730312,0.0,8.0,1.0,3.0,0.5364715289850751,-0.04349624186229084
punting_punts,13564,4.284503096431731,4.0,2.20499092961751,0.0,13.0,3.0,6.0,0.0031196602797801992,-0.17851320757446798
passing_netPassingAttempts,13564,33.61478805541992,35.0,12.273879051208496,0.0,72.0,28.0,41.0,-0.9777007617542254,1.6648685703901531
punting_puntsInside20Pct,13564,31.749109863235486,33.33333333333333,26.45656100658668,0.0,100.0,0.0,50.0,0.6227551251634784,-0.10440912459550056
receiving_receivingFirstDowns,13564,10.739383697509766,11.0,4.792684555053711,0.0,29.0,8.0,14.0,-0.2586049763021905,0.2557453240243581
