feature,correlation,abs_correlation,p_value,significant
punting_touchbacks,0.02178327585580636,0.02178327585580636,0.011179180890961527,True
passing_passingYardsAtCatch,0.021558710682441265,0.021558710682441265,0.012042833185085889,True
returning_kickReturnFairCatchPct,0.021261693753932446,0.021261693753932446,0.013275715999128499,True
kicking_fieldGoalAttempts50_59,0.015973251839270012,0.015973251839270012,0.06284798631324118,False
punting_puntsBlockedPct,-0.015405732672260811,0.015405732672260811,0.0727870920844006,False
kicking_fieldGoalsBlocked,-0.013874293067138522,0.013874293067138522,0.10613914983756295,False
rushing_twoPtRushAttempts,-0.013244457157194366,0.013244457157194366,0.1229677470329535,False
rushing_twoPtRush,-0.01264770243190825,0.01264770243190825,0.14076921219746383,False
scoring_twoPointRushConvs,-0.01264770243190825,0.01264770243190825,0.14076921219746383,False
punting_longPunt,-0.0114615139980455,0.0114615139980455,0.181947931969649,False
kicking_fieldGoalAttempts50,0.011291930318273104,0.011291930318273104,0.18849957806434914,False
returning_kickReturnTouchdowns,0.010726816618342532,0.010726816618342532,0.2115864221743134,False
kicking_fieldGoalsMade60_99,0.010577499527639969,0.010577499527639969,0.2180144483757703,False
returning_kickReturnFairCatches,0.006678484852572516,0.006678484852572516,0.43671996537321284,False
kicking_extraPointsBlockedPct,0.005360765811595911,0.005360765811595911,0.5324395650531314,False
returning_puntReturnFairCatchPct,0.0043910631882964485,0.0043910631882964485,0.6090999125307345,False
punting_grossAvgPuntYards,-0.0006120516325257615,0.0006120516325257615,0.9431782726558899,False
