,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_pct
receiving_totalPoints,829.0,360.74547647768395,75.58366525610444,161.0,305.0,357.0,414.0,606.0,0.23334341693304647,-0.19491389631004008,0.0
passing_avgGain,829.0,5.719690088771364,1.7151091252529271,0.0,5.469964504241943,6.012345790863037,6.663003444671631,8.874125480651855,-2.35138948583224,5.611572981048338,0.0
kicking_fieldGoalsMade30_39,829.0,7.595898673100121,3.485585579253531,0.0,6.0,8.0,10.0,19.0,-0.2278209470033664,0.06141490084930101,0.0
defensive_sackYards,829.0,231.89987182617188,86.88777923583984,0.0,195.0,241.0,287.0,491.0,-0.9477216005325317,1.3568733930587769,0.0
scoring_twoPointRushConvs,829.0,0.3956574185765983,0.7174703672674259,0.0,0.0,0.0,1.0,5.0,2.2773358783654265,6.445657326468739,0.0
scoring_kickExtraPointsMade,829.0,33.93244873341375,13.300966926143973,0.0,27.0,34.0,42.0,75.0,-0.6148906815037074,1.110611439288221,0.0
passing_totalPoints,829.0,360.74547647768395,75.58366525610444,161.0,305.0,357.0,414.0,606.0,0.23334341693304647,-0.19491389631004008,0.0
passing_longPassing,829.0,66.52472858866103,21.117818307704354,0.0,61.0,71.0,79.0,99.0,-1.9324428716342983,3.992831818968378,0.0
total_winPercent,829.0,49.80953901464084,19.062624507441754,0.0,37.5,50.0,64.70588235294117,100.0,-0.05549003050535912,-0.6230546014093674,0.0
scoring_rushingTouchdowns,829.0,12.761157989501953,6.0798540115356445,0.0,9.0,13.0,16.0,32.0,0.05827443301677704,0.3715617060661316,0.0
kicking_extraPointsBlockedPct,829.0,0.5940035946189691,1.3960167395166514,0.0,0.0,0.0,0.0,13.157894736842104,2.9525231852789307,12.408725098442215,0.0
scoring_twoPointPassConvs,829.0,0.7889022919179735,1.0655212946396189,0.0,0.0,0.0,1.0,7.0,1.6954272913204425,3.858376444595024,0.0
kicking_extraPointsBlocked,829.0,0.2195416164053076,0.5036622231628509,0.0,0.0,0.0,0.0,5.0,2.8889561617959125,12.936508367634008,0.0
punting_avgPuntReturnYards,829.0,3.767975594333092,1.6875521235665043,0.0,2.8260869565217392,3.8358208955223883,4.758241758241758,9.4,-0.18854202115948965,0.38848716486818846,0.0
punting_puntsInside20Pct,829.0,31.488790291741047,11.164493639894644,0.0,27.160493827160494,32.8125,38.35616438356164,56.36363636363636,-1.20594376784104,2.0209522177249943,0.0
passing_passingYardsAfterCatch,829.0,1249.752685546875,879.0740356445312,-1.0,0.0,1588.0,1923.0,2827.0,-0.49848416447639465,-1.3334535360336304,0.0
home_OTLosses,829.0,0.21592279855247287,0.43731423807716213,0.0,0.0,0.0,0.0,2.0,1.7671941347928712,2.093481338608186,0.0
rushing_rushingAttempts,829.0,405.7647705078125,121.29058837890625,0.0,387.0,425.0,469.0,631.0,-2.355365037918091,5.733556270599365,0.0
kicking_fieldGoalAttempts20_29,829.0,7.4716525934861275,3.515078602200247,0.0,5.0,8.0,10.0,19.0,-0.20454124045895758,-0.00806314523141527,0.0
receiving_receivingBigPlays,829.0,44.815440289505425,16.054510193133215,0.0,38.0,46.0,55.0,83.0,-1.1335349854237615,1.8654986489374354,0.0
rushing_yardsFromScrimmagePerGame,829.0,299.33292237280915,90.01009837797494,0.0,286.125,315.70588235294116,347.75,471.8235294117647,-2.338671646323697,5.517481536969836,0.0
returning_puntReturnFairCatchPct,829.0,22.16479093675776,9.784744489043959,0.0,16.901408450704224,22.807017543859647,28.767123287671232,55.769230769230774,-0.354673310206504,0.3132960379931191,0.0
kicking_longFieldGoalAttempt,829.0,51.52714113389626,14.420221951014852,0.0,52.0,54.0,57.0,71.0,-3.0060255610856568,8.166823893599856,0.0
passing_yardsPerPassAttempt,829.0,5.324182221627781,1.6554806346017126,0.0,4.986644268035889,5.577419281005859,6.269230842590332,8.676573753356934,-2.059905533019428,4.563323128125125,0.0
miscellaneous_firstDownsPassing,829.0,176.31362915039062,56.75381851196289,0.0,161.0,184.0,209.0,303.0,-1.778377652168274,3.7583141326904297,0.0
kicking_fieldGoalAttempts1_19,829.0,0.3172496984318456,0.5954368847414961,0.0,0.0,0.0,1.0,4.0,1.9906963386414829,4.2165794569098605,0.0
kicking_kickoffReturnYards,829.0,1010.1073608398438,490.7734375,0.0,662.0,1025.0,1406.0,2258.0,-0.22315950691699982,-0.5640332698822021,0.0
rushing_longRushing,829.0,52.13630880579011,21.24266276014471,0.0,40.0,52.0,68.0,99.0,-0.5839788433948818,0.44455132273712517,0.0
passing_passingTouchdowns,829.0,22.004825592041016,9.4563570022583,0.0,17.0,22.0,28.0,55.0,-0.17315040528774261,0.8583422899246216,0.0
rushing_totalPoints,829.0,360.74547647768395,75.58366525610444,161.0,305.0,357.0,414.0,606.0,0.23334341693304647,-0.19491389631004008,0.0
defensiveInterceptions_interceptionYards,829.0,196.7382354736328,118.70819091796875,-2.0,114.0,185.0,266.0,685.0,0.7183935642242432,1.0335241556167603,0.0
kicking_fieldGoalAttempts50,829.0,3.9722557297949335,3.020134103339807,0.0,2.0,3.0,6.0,17.0,0.9273759763361736,0.8878953280859099,0.0
returning_longKickReturn,829.0,60.743063932448734,28.59956488929541,0.0,41.0,55.0,90.0,109.0,-0.16762637525927962,-0.6368289443886703,0.0
road_OTLosses,829.0,0.2605548854041013,0.51278361394013,0.0,0.0,0.0,0.0,3.0,1.8958815182168807,3.066778153483059,0.0
passing_totalYardsFromScrimmage,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
rushing_rushingYards,829.0,1759.8033447265625,590.1150512695312,0.0,1583.0,1817.0,2074.0,3326.0,-1.418025255203247,3.0782084465026855,0.0
receiving_netTotalYards,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
passing_yardsFromScrimmagePerGame,829.0,299.33292237280915,90.01009837797494,0.0,286.125,315.70588235294116,347.75,471.8235294117647,-2.338671646323697,5.517481536969836,0.0
receiving_totalPointsPerGame,829.0,22.006940502377066,4.433337001944232,10.0625,18.75,21.875,25.0,37.875,0.28278112539460276,0.03298864539071111,0.0
kicking_fieldGoalAttempts50_59,829.0,3.8202653799758743,2.8851233326262253,0.0,2.0,3.0,6.0,16.0,0.8585060590903563,0.5911297654224721,0.0
